date,code,open,high,low,close,volume,amount,MA5,MA10,MA20,MA60
2025-03-27,sh.601127,123.5,128.23,122.65,126.9,26399776,3345300014.87,124.36800000000001,126.25399999999999,127.21549999999999,128.55066666666667
2025-03-28,sh.601127,127.0,128.33,126.03,127.08,16903736,2155686720.15,124.90800000000002,126.01999999999998,127.494,128.51399999999998
2025-03-31,sh.601127,127.07,127.7,124.7,125.89,15051170,1896925914.87,125.194,125.822,127.6635,128.3455
2025-04-01,sh.601127,126.88,128.22,124.3,125.82,16884434,2132002037.76,125.878,125.588,127.8095,128.19116666666665
2025-04-02,sh.601127,125.81,126.5,124.56,125.31,12071787,1513931922.47,126.2,125.38699999999999,127.745,128.033
2025-04-03,sh.601127,124.31,125.8,124.1,124.6,11398468,1423169874.78,125.74000000000001,125.054,127.23150000000001,127.88650000000001
2025-04-07,sh.601127,119.33,121.25,112.14,113.8,46300966,5371513408.94,123.08399999999999,123.99600000000001,126.19450000000002,127.64083333333333
2025-04-08,sh.601127,114.5,122.8,114.5,121.8,39334168,4602523187.21,122.266,123.72999999999999,125.64199999999998,127.58783333333332
2025-04-09,sh.601127,119.0,125.0,116.63,125.0,34858963,4245570406.97,122.102,123.98999999999998,125.349,127.60449999999999
2025-04-10,sh.601127,127.4,127.7,125.49,126.5,25117704,3182808799.35,122.34,124.27000000000001,125.234,127.55850000000001
2025-04-11,sh.601127,126.5,127.75,126.01,127.23,16971406,2155678724.07,122.86600000000001,124.303,125.27849999999998,127.54933333333334
2025-04-14,sh.601127,131.91,135.56,130.53,134.96,42614192,5702391859.32,127.098,125.09100000000001,125.55549999999998,127.64933333333333
2025-04-15,sh.601127,134.96,135.18,132.51,134.4,23414195,3134137807.27,129.618,125.94200000000001,125.88199999999999,127.75316666666666
2025-04-16,sh.601127,137.3,137.85,134.0,136.0,29675835,4015767908.71,131.818,126.96000000000001,126.274,127.81983333333332
2025-04-17,sh.601127,133.0,133.84,128.78,130.76,32594508,4264805390.33,132.67000000000002,127.50500000000002,126.446,127.68733333333333
2025-04-18,sh.601127,128.66,130.79,128.0,130.61,13734919,1778004304.85,133.346,128.106,126.58,127.56750000000001
2025-04-21,sh.601127,131.66,132.4,130.09,130.6,12815489,1679702994.94,132.474,129.786,126.89099999999999,127.48766666666667
2025-04-22,sh.601127,130.0,131.22,129.78,129.8,10838895,1412608799.3,131.554,130.586,127.15799999999999,127.39983333333335
2025-04-23,sh.601127,131.3,131.69,128.5,129.39,15757685,2048625401.11,130.23200000000003,131.025,127.50749999999998,127.27866666666667
2025-04-24,sh.601127,128.6,132.0,128.6,128.86,14541315,1887982421.8,129.852,131.26100000000002,127.7655,127.11116666666666
2025-04-25,sh.601127,129.0,129.8,128.2,128.99,10463638,1349380135.37,129.52800000000002,131.437,127.87,127.06266666666667
2025-04-28,sh.601127,128.57,128.66,127.25,127.25,11755289,1503254129.87,128.858,130.666,127.8785,126.9885
2025-04-29,sh.601127,127.25,127.87,125.8,126.79,12594686,1596666846.14,128.25600000000003,129.905,127.92350000000002,126.88833333333334
2025-04-30,sh.601127,128.4,131.0,127.71,130.28,23198120,3010963925.76,128.43400000000003,129.333,128.1465,126.8465
2025-05-06,sh.601127,130.77,131.28,129.31,130.03,15634425,2032038360.51,128.668,129.26,128.3825,126.88866666666667
2025-05-07,sh.601127,131.98,132.0,129.04,130.0,15798512,2053872796.34,128.87,129.199,128.6525,126.87216666666667
2025-05-08,sh.601127,129.32,130.13,128.6,128.68,13075280,1688847846.97,129.156,129.007,129.3965,126.80616666666667
2025-05-09,sh.601127,128.97,129.26,127.53,128.36,10175587,1305748892.3,129.47,128.863,129.7245,126.73266666666667
2025-05-12,sh.601127,128.9,129.09,127.67,129.09,13169696,1692871312.33,129.232,128.83300000000003,129.92900000000003,126.79749999999999
2025-05-13,sh.601127,129.09,129.09,127.35,127.45,10719007,1371511747.48,128.716,128.692,129.97650000000002,126.86066666666667
2025-05-14,sh.601127,127.45,132.0,126.51,130.17,24430606,3169031896.18,128.75,128.81,130.1235,127.02966666666666
2025-05-15,sh.601127,129.36,131.13,128.03,128.5,13769014,1779929799.3,128.714,128.935,129.8005,127.13516666666666
2025-05-16,sh.601127,128.48,130.25,128.1,129.8,13757404,1779657676.06,129.002,129.23600000000002,129.57049999999998,127.2805
2025-05-19,sh.601127,129.4,129.5,127.5,129.4,12027211,1546037006.31,129.06400000000002,129.148,129.2405,127.4535
2025-05-20,sh.601127,129.4,131.0,129.38,130.5,17522814,2284160219.0,129.674,129.195,129.2275,127.637
2025-05-21,sh.601127,130.3,134.5,130.11,133.5,33253443,4434574478.75,130.34,129.54500000000002,129.372,127.81266666666667
2025-05-22,sh.601127,133.01,134.91,132.5,132.61,22407770,2996787090.03,131.162,129.93800000000002,129.47250000000003,127.97916666666667
2025-05-23,sh.601127,132.88,145.87,132.88,145.87,75063516,10675789482.46,134.376,131.68900000000002,130.276,128.3485
2025-05-26,sh.601127,144.0,144.98,138.0,139.7,49114912,6939097339.08,136.43599999999998,132.75,130.7915,128.54383333333334
2025-05-27,sh.601127,139.66,141.39,137.73,138.21,20001880,2772803795.3,137.978,133.826,131.25900000000001,128.74633333333333
2025-05-28,sh.601127,138.5,138.98,133.92,134.05,23437382,3182594738.23,138.08800000000002,134.214,131.512,128.86583333333334
2025-05-29,sh.601127,133.68,138.15,133.68,135.08,25270502,3427895450.98,138.582,134.872,131.90349999999998,129.09199999999998
2025-05-30,sh.601127,135.1,138.66,134.55,136.02,22987424,3149749575.37,136.612,135.494,132.365,129.31733333333332
2025-06-03,sh.601127,136.0,137.55,134.15,134.6,17913319,2428494407.89,135.592,136.014,132.58100000000002,129.51233333333332
2025-06-04,sh.601127,134.66,135.1,133.56,133.97,12241306,1640877777.1,134.744,136.36100000000002,132.778,129.63516666666666
2025-06-05,sh.601127,134.7,134.8,133.29,134.08,11359754,1521797962.42,134.75000000000003,136.419,132.982,129.62199999999999
2025-06-06,sh.601127,134.0,134.3,131.72,133.16,13639772,1813136878.72,134.366,136.474,133.20600000000002,129.599
2025-06-09,sh.601127,133.65,135.1,132.8,134.1,15525298,2083256258.78,133.982,135.297,133.493,129.61983333333333
2025-06-10,sh.601127,134.1,136.38,132.35,133.11,20535082,2752538208.64,133.68400000000003,134.638,133.69400000000002,129.65733333333333
2025-06-11,sh.601127,133.19,135.4,133.19,133.58,18723642,2513503648.81,133.606,134.175,134.00050000000002,129.737
2025-06-12,sh.601127,133.5,135.5,131.42,134.64,23979461,3194866640.87,133.718,134.234,134.224,129.87533333333334
2025-06-13,sh.601127,133.8,133.8,130.76,130.77,21932201,2890472581.71,133.24,133.80300000000003,134.3375,129.89783333333335
2025-06-16,sh.601127,130.16,131.5,129.75,131.11,11946358,1563226954.05,132.642,133.312,134.403,129.95183333333335
2025-06-17,sh.601127,131.6,132.37,129.66,129.86,12742406,1661907754.48,131.99200000000002,132.83800000000002,134.42600000000002,129.98016666666666
2025-06-18,sh.601127,129.8,131.33,129.06,130.75,11342587,1477486716.49,131.42600000000002,132.51600000000002,134.43850000000003,130.03733333333332
2025-06-19,sh.601127,130.98,134.5,130.3,131.16,17131202,2266394307.8,130.73,132.224,134.32150000000001,130.09116666666665
2025-06-20,sh.601127,131.29,131.99,130.8,131.27,9753163,1281758455.09,130.82999999999998,132.035,134.2545,130.20600000000002
2025-06-23,sh.601127,130.77,132.5,129.62,132.34,11010213,1448586632.39,131.076,131.859,133.57800000000003,130.33733333333333
2025-06-24,sh.601127,133.75,134.7,132.69,132.89,18945224,2530866706.46,131.682,131.837,133.2375,130.51216666666667
2025-06-25,sh.601127,133.33,137.21,132.97,135.22,21555966,2914383443.51,132.576,132.001,133.088,130.70416666666668
2025-06-26,sh.601127,134.88,135.69,133.39,135.3,16984953,2282449705.4,133.404,132.06699999999998,133.15050000000002,130.84416666666667
2025-06-27,sh.601127,134.3,134.88,132.26,132.73,16828390,2246167752.46,133.696,132.26299999999998,133.03300000000002,130.93833333333333
2025-06-30,sh.601127,132.6,135.36,132.6,134.32,14478291,1945134634.79,134.092,132.584,132.948,131.07883333333334
2025-07-01,sh.601127,134.6,138.0,134.6,136.51,19502459,2660952676.4,134.81599999999997,133.24899999999997,133.0435,131.257
2025-07-02,sh.601127,136.51,137.49,134.0,134.4,14152010,1915469632.18,134.652,133.61399999999998,133.065,131.4085
2025-07-03,sh.601127,134.93,136.79,134.0,135.59,14289484,1933398497.8,134.70999999999998,134.05700000000002,133.14050000000003,131.59166666666667
2025-07-04,sh.601127,135.5,136.9,133.82,135.08,16721322,2264748207.45,135.18,134.43800000000002,133.2365,131.94633333333334
2025-07-07,sh.601127,135.2,137.5,135.17,136.51,17316848,2365870408.32,135.618,134.855,133.357,132.19150000000002
2025-07-08,sh.601127,136.51,141.39,135.88,139.68,25597342,3550481970.2,136.252,135.53400000000002,133.6855,132.43616666666668
2025-07-09,sh.601127,139.23,140.73,138.39,139.63,15964958,2225947773.59,137.298,135.975,133.988,132.655
2025-07-10,sh.601127,139.22,139.85,137.75,138.44,15515170,2151966994.45,137.868,136.28900000000002,134.178,132.84183333333334
2025-07-11,sh.601127,133.4,134.01,130.8,131.99,51142659,6767785198.35,137.25,136.215,134.239,132.79233333333335
2025-07-14,sh.601127,132.09,132.28,129.0,130.03,26046256,3389460171.05,135.954,135.786,134.185,132.7195
2025-07-15,sh.601127,130.04,130.7,129.68,130.12,15439919,2008890748.83,134.042,135.147,134.198,132.6215
2025-07-16,sh.601127,130.95,130.95,129.0,129.08,20469075,2647840461.58,131.932,134.615,134.1145,132.5935
2025-07-17,sh.601127,128.7,130.45,127.68,130.4,24387722,3148897168.24,130.324,134.096,134.07649999999998,132.59
2025-07-18,sh.601127,130.45,130.8,129.82,130.2,12846672,1672200662.7,129.966,133.608,134.023,132.58333333333334
2025-07-21,sh.601127,130.18,130.32,129.34,129.55,14443732,1873720406.32,129.86999999999998,132.91199999999998,133.8835,132.57916666666668
2025-07-22,sh.601127,129.3,129.5,128.67,129.27,14013923,1807875620.37,129.70000000000002,131.871,133.70250000000001,132.57716666666667
2025-07-23,sh.601127,129.01,130.5,128.8,129.88,14396896,1869063945.0,129.86,130.89600000000002,133.4355,132.59416666666667
2025-07-24,sh.601127,129.44,129.95,129.0,129.42,16314426,2109443597.82,129.66400000000002,129.994,133.1415,132.60133333333334
2025-07-25,sh.601127,129.43,129.88,129.02,129.16,13523460,1748967102.55,129.456,129.71099999999998,132.963,132.63316666666665
2025-07-28,sh.601127,129.7,131.44,129.16,130.41,17222135,2244342570.48,129.62800000000001,129.749,132.76749999999998,132.6935
2025-07-29,sh.601127,130.99,130.99,129.1,129.32,15155301,1962811262.6,129.63799999999998,129.66899999999998,132.408,132.6775
2025-07-30,sh.601127,129.01,129.78,128.37,128.76,13713536,1767441507.85,129.414,129.637,132.126,132.65633333333332
2025-07-31,sh.601127,128.32,128.56,126.75,126.91,18212230,2323551395.99,128.91199999999998,129.28799999999998,131.692,132.60483333333335
2025-08-01,sh.601127,126.82,129.05,126.26,128.45,14161478,1816300676.01,128.77,129.113,131.3605,132.601
2025-08-04,sh.601127,128.0,128.0,127.16,127.66,9812059,1251490378.82,128.22,128.92399999999998,130.918,132.58933333333334
2025-08-05,sh.601127,127.68,128.88,127.2,127.76,11171619,1428577117.46,127.90799999999999,128.77299999999997,130.32199999999997,132.56716666666668
2025-08-06,sh.601127,127.8,129.5,127.18,128.7,12371881,1588151090.78,127.896,128.655,129.77550000000002,132.588
2025-08-07,sh.601127,128.56,128.6,127.7,127.87,10522416,1346497853.77,128.08800000000002,128.5,129.247,132.54966666666667
2025-08-08,sh.601127,127.7,127.7,126.62,126.7,12362149,1567778001.2,127.73799999999999,128.254,128.9825,132.51966666666667
2025-08-11,sh.601127,126.67,128.6,126.66,128.15,13083264,1671092830.73,127.83600000000001,128.028,128.8885,132.4921666666667
2025-08-12,sh.601127,128.8,131.22,128.8,129.89,23008228,2994809052.93,128.262,128.08499999999998,128.877,132.50033333333332
2025-08-13,sh.601127,128.7,129.5,128.3,128.92,17025634,2193475129.76,128.30599999999998,128.101,128.86899999999997,132.474
2025-08-14,sh.601127,129.01,129.78,127.86,128.0,14207746,1828894054.27,128.33200000000002,128.20999999999998,128.74899999999997,132.38233333333332
2025-08-15,sh.601127,127.5,129.5,127.26,128.6,18448725,2373327601.37,128.712,128.225,128.669,132.31550000000001
2025-08-18,sh.601127,128.55,130.0,127.47,128.88,25785991,3324002155.18,128.858,128.347,128.63549999999998,132.03233333333336
2025-08-19,sh.601127,128.41,133.33,128.41,131.47,42177607,5523671533.76,129.174,128.71800000000002,128.7455,131.89516666666665
2025-08-20,sh.601127,130.5,132.07,129.38,131.8,27931772,3646736446.29,129.75,129.028,128.8415,131.78833333333333
2025-08-21,sh.601127,132.0,135.5,131.5,132.0,30018969,3992607746.65,130.55,129.44099999999997,128.9705,131.75416666666666
2025-08-22,sh.601127,132.3,134.6,132.3,133.96,30662761,4100292046.1,131.622,130.167,129.2105,131.7355
2025-08-25,sh.601127,134.34,136.99,133.0,135.87,42618478,5743801126.82,133.01999999999998,130.939,129.4835,131.733
2025-08-26,sh.601127,135.87,136.48,133.88,134.57,29769787,4014096487.84,133.64000000000001,131.407,129.746,131.73250000000002
2025-08-27,sh.601127,135.02,137.5,131.65,131.82,40706923,5481474751.16,133.644,131.697,129.899,131.69666666666666
2025-08-28,sh.601127,131.01,131.94,128.64,131.38,30120866,3934813468.23,133.51999999999998,132.035,130.1225,131.65166666666667
2025-08-29,sh.601127,131.36,138.84,130.74,136.91,62188556,8469690674.33,134.10999999999999,132.866,130.5455,131.71416666666667
2025-09-01,sh.601127,138.9,145.3,138.88,143.89,54637774,7807271115.61,135.714,134.36700000000002,131.357,131.87733333333333
