ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
001203.SZ,001203,大中矿业,20260318,35.49,-6.0614,1179771.507,1179771507.0,11.79771507,5440902.4638,54409024638.0,544.09024638,4668057.8788,2.4932,6.9477,1.13,72.4235,8.1489,14.1587,0.5429,主板,普钢,2021-05-10
002828.SZ,002828,贝肯能源,20260318,13.21,-5.9786,390698.849,390698849.0,3.90698849,265504.6196,2655046196.0,26.55046196,255695.369,15.2919,17.9253,0.77,614.3377,3.8165,2.7906,0.3785,主板,石油开采,2016-12-08
688533.SH,688533,上声电子,20260318,27.89,-5.9676,137074.229,137074229.0,1.37074229,460148.8573,4601488573.0,46.01488573,460148.8573,3.0054,10.8772,1.41,19.5663,2.7182,1.6577,1.5926,科创板,汽车配件,2021-04-19
600121.SH,600121,郑州煤电,20260318,4.92,-5.9273,726322.918,726322918.0,7.26322918,599458.7227,5994587227.0,59.94587227,599458.7227,11.8842,24.7109,1.02,21.2076,3.9109,1.4256,,主板,煤炭开采,1998-01-07
300461.SZ,300461,田中精机,20260318,50.8,-5.9259,579292.121,579292121.0,5.79292121,797847.9954,7978479954.0,79.78479954,730012.5456,7.7601,13.7725,1.1,,15.0024,35.2931,,创业板,专用机械,2015-05-19
603612.SH,603612,索通发展,20260318,29.11,-5.9147,958659.013,958659013.0,9.58659013,1449982.0801,14499820801.0,144.99820801,1449982.0801,6.6721,8.9924,1.48,53.2274,2.5842,1.0545,0.7175,主板,矿物制品,2017-07-18
300189.SZ,300189,神农种业,20260318,7.8,-5.9107,1336004.577,1336004577.0,13.36004577,798720.0,7987200000.0,79.872,691267.2577,19.3722,20.4307,0.82,,10.9419,51.0325,,创业板,种植业,2011-03-16
601886.SH,601886,江河集团,20260318,8.3,-5.8957,109115.507,109115507.0,1.09115507,940391.7098,9403917098.0,94.03917098,940391.7098,1.1445,3.4865,2.78,14.7467,1.3397,0.4197,6.6265,主板,装修装饰,2011-08-18
300505.SZ,300505,川金诺,20260318,35.42,-5.7728,2169207.648,2169207648.0,21.69207648,973580.7665,9735807665.0,97.35807665,769893.4483,28.63,31.2292,0.82,55.2995,3.5208,3.0353,0.847,创业板,农药化肥,2016-03-15
601218.SH,601218,吉鑫科技,20260318,6.75,-5.7263,1445183.999,1445183999.0,14.45183999,654097.6206,6540976206.0,65.40976206,654097.6206,21.5911,29.6553,1.16,214.7959,2.209,5.3779,0.1481,主板,电气设备,2011-05-06
300185.SZ,300185,通裕重工,20260318,3.96,-5.7143,2702901.781,2702901781.0,27.02901781,1543270.8678,15432708677.999998,154.32708677999997,1467963.3807,18.5475,22.5977,1.01,372.9869,2.3331,2.5078,0.2755,创业板,工程机械,2011-03-08
603027.SH,603027,千禾味业,20260318,9.57,-5.7143,352582.782,352582782.0,3.52582782,1275801.0193,12758010193.0,127.58010193,1195881.9062,2.9116,5.5596,1.86,24.8137,3.8669,4.1511,4.8228,主板,食品,2016-03-07
600073.SH,600073,光明肉业,20260318,6.15,-5.6748,245597.155,245597155.0,2.45597155,576703.6253,5767036253.0,57.67036253,576703.6253,4.252,6.8349,2.96,26.692,1.1502,0.2623,1.1382,主板,食品,1997-07-04
003041.SZ,003041,真爱美家,20260318,58.47,-5.6022,542223.523,542223523.0,5.42223523,841968.0,8419680000.0,84.1968,800006.4198,6.6859,20.6623,0.78,111.0841,5.7534,9.5829,1.3682,主板,纺织,2021-04-06
600610.SH,600610,中毅达,20260318,10.67,-5.4916,826221.755,826221755.0,8.26221755,1143050.0035,11430500035.000002,114.30500035000001,756211.3942,10.9675,17.3223,1.38,,100.7049,10.3944,,主板,化工原料,1992-08-05
600057.SH,600057,厦门象屿,20260318,8.1,-5.4842,244181.223,244181223.0,2.44181223,2300877.3646,23008773646.0,230.08773646,1694933.2328,1.4296,3.2636,1.19,16.2168,1.4282,0.0628,4.2344,主板,仓储物流,1997-06-04
600227.SH,600227,赤天化,20260318,5.0,-5.482,2048959.225,2048959225.0,20.48959225,844363.8425,8443638425.0,84.43638425,638799.9015,31.7814,38.4725,0.98,,3.5262,3.5477,,主板,农药化肥,2000-02-21
600693.SH,600693,东百集团,20260318,11.33,-5.4257,859390.88,859390880.0,8.5939088,985535.7967,9855357967.0,98.55357967,984523.502,8.7929,22.0161,3.41,226.6264,2.7891,5.4278,0.7061,主板,百货,1993-11-22
600340.SH,600340,华夏幸福,20260318,1.57,-5.4217,384954.804,384954804.0,3.84954804,614454.0937,6144540937.0,61.44540937,611256.7447,6.2814,10.3352,1.73,,,0.2585,,主板,园区开发,2003-12-30
600935.SH,600935,华塑股份,20260318,3.0,-5.3628,359865.53,359865530.0,3.5986553,1078421.4168,10784214168.0,107.84214168,1052220.5436,3.3982,9.4501,0.82,,1.8013,2.1086,,主板,化工原料,2021-11-26
